SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
BIOS,211,009,12326,12/7/2022,0900,TBA,TBA
BIOS,211,011,12328,12/7/2022,0900,TBA,TBA
BIOS,311,001,12387,12/7/2022,0900,TBA,TBA
BIOS,313,001,12390,12/7/2022,0900,TBA,TBA
BIOS,329,001,13510,12/7/2022,1400,ABL,131
BIOS,572,001,12550,12/7/2022,1400,KCK,100
BIOS,529,001,13511,12/7/2022,1400,ABL,131
BIOS,128,001,12312,12/7/2022,0900,TBA,TBA
BIOS,128,002,12314,12/7/2022,0900,TBA,TBA
BIOS,327,001,12393,12/7/2022,0900,TBA,TBA
ELEC,424,001,12889,12/7/2022,1900,TBA,TBA
COMP,424,001,12890,12/7/2022,1900,TBA,TBA
ENGL,372,001,13987,12/7/2022,1400,TBA,TBA
LATI,101,001,11588,12/7/2022,0900,TBA,TBA
LATI,201,001,10578,12/7/2022,1900,TBA,TBA
ENGL,200,003,14741,12/7/2022,1900,TBA,TBA
POLI,338,002,14767,12/7/2022,1900,ANH,117
SOSC,301,002,14768,12/7/2022,1900,ANH,117
PSYC,370,001,10255,12/7/2022,1400,TBA,TBA
PSYC,430,001,12208,12/7/2022,1400,TBA,TBA
PSYC,543,001,14124,12/7/2022,1400,TBA,TBA
LING,415,001,14031,12/7/2022,0900,TBA,TBA
BIOS,318,001,12391,12/7/2022,0900,TBA,TBA
MATH,423,001,12745,12/7/2022,0900,HBH,227
EEPS,322,001,13262,12/7/2022,1400,KWG,128
RELI,231,001,14081,12/7/2022,1900,TBA,TBA
ASIA,231,001,14082,12/7/2022,1900,TBA,TBA
JAPA,401,002,14633,12/7/2022,0900,TBA,TBA
THEA,314,001,13392,12/7/2022,0900,TBA,TBA
COMP,533,001,13331,12/7/2022,1900,TBA,TBA
ELEC,261,001,10018,12/7/2022,1900,HRZ,212
FWIS,100,001,10739,12/7/2022,1400,TBA,TBA
FWIS,100,002,10740,12/7/2022,1400,TBA,TBA
FWIS,100,006,10742,12/7/2022,1900,TBA,TBA
FWIS,100,005,12758,12/7/2022,0900,TBA,TBA
FWIS,110,002,13996,12/7/2022,1400,TBA,TBA
CHBE,443,001,11446,12/7/2022,0900,TBA,TBA
CHBE,443,002,13294,12/7/2022,0900,TBA,TBA
BUSI,401,001,14303,12/7/2022,0900,TBA,TBA
BUSI,401,002,14304,12/7/2022,0900,TBA,TBA
EEPS,116,001,13965,12/7/2022,1400,KWG,100
MECH,371,001,10317,12/7/2022,1400,MEB,128
CHBE,243,001,14347,12/7/2022,1400,TBA,TBA
CHEM,330,001,11151,12/7/2022,1400,TBA,TBA
POLI,374,001,14064,12/7/2022,1400,TBA,TBA
CHEM,213,005,10707,12/7/2022,0900,TBA,TBA
CHEM,213,006,10708,12/7/2022,0900,TBA,TBA
CHEM,213,007,10709,12/7/2022,1900,TBA,TBA
