PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
26,Fall Semester 2022,11023,MUSI,341,009,STU,JUNIOR RECITAL
26,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
26,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
26,Fall Semester 2022,10154,MUSI,493,001,STU,VIOLA FOR MAJORS
26,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
26,Fall Semester 2022,12299,PHIL,210,001,LEC,LOGIC
26,Fall Semester 2022,14387,PHIL,265,001,LEC,DEATH AND DYING
27,Fall Semester 2022,10493,MUSI,338,006,STU,CHAMBER MUSIC - UG
27,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
27,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
27,Fall Semester 2022,10153,MUSI,487,001,STU,HARP FOR MAJORS
27,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
27,Fall Semester 2022,12537,JWST,201,001,LEC,GREAT BOOKS OF JEWISH CULTURE
27,Fall Semester 2022,13258,EEPS,110,001,LEC,"EARTH, ENVIRONMENT, & SOCIETY"
28,Fall Semester 2022,10494,MUSI,338,007,STU,CHAMBER MUSIC - UG
28,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
28,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
28,Fall Semester 2022,10377,MUSI,339,003,STU,UG ORCHESTRAL REP
28,Fall Semester 2022,10155,MUSI,495,001,STU,VIOLONCELLO FOR MAJORS
28,Fall Semester 2022,13697,BIOS,122,002,LEC,BIOLOGY FOR VOTERS
29,Fall Semester 2022,10494,MUSI,338,007,STU,CHAMBER MUSIC - UG
29,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
29,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
29,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
29,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
30,Fall Semester 2022,10494,MUSI,338,007,STU,CHAMBER MUSIC - UG
30,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
30,Fall Semester 2022,10283,MUSI,231,001,LL,AURAL SKILLS & PERFORM TECH I
30,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
30,Fall Semester 2022,10455,MUSI,495,002,STU,VIOLONCELLO FOR MAJORS
30,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
30,Fall Semester 2022,10739,FWIS,100,001,SEM,INTRO TO ACADEMIC WRITING
31,Fall Semester 2022,10494,MUSI,338,007,STU,CHAMBER MUSIC - UG
31,Fall Semester 2022,10448,MUSI,481,002,STU,PIANO FOR MAJORS
31,Fall Semester 2022,11607,PSYC,351,001,LEC,PERCEPTION
31,Fall Semester 2022,13952,KORE,263,001,LEC,SECOND YEAR KOREAN I
31,Fall Semester 2022,14120,PSYC,231,002,LEC,INDUS & ORGANIZATIONAL PSYC
32,Fall Semester 2022,10494,MUSI,338,007,STU,CHAMBER MUSIC - UG
32,Fall Semester 2022,10152,MUSI,481,001,STU,PIANO FOR MAJORS
32,Fall Semester 2022,11737,KINE,300,002,LL,HUMAN ANATOMY WITH LAB
32,Fall Semester 2022,12183,MUSI,416,001,LEC,ORCHESTRATION
32,Fall Semester 2022,12982,MUSI,335,001,STU,RICE CHORALE
33,Fall Semester 2022,10495,MUSI,338,008,STU,CHAMBER MUSIC - UG
33,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
33,Fall Semester 2022,10283,MUSI,231,001,LL,AURAL SKILLS & PERFORM TECH I
33,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
33,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
33,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
34,Fall Semester 2022,10495,MUSI,338,008,STU,CHAMBER MUSIC - UG
34,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
34,Fall Semester 2022,10283,MUSI,231,001,LL,AURAL SKILLS & PERFORM TECH I
34,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
34,Fall Semester 2022,10452,MUSI,491,003,STU,VIOLIN FOR MAJORS
34,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
34,Fall Semester 2022,12778,FWIS,100,010,SEM,INTRO TO ACADEMIC WRITING
35,Fall Semester 2022,10495,MUSI,338,008,STU,CHAMBER MUSIC - UG
35,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
35,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
35,Fall Semester 2022,10124,MUSI,231,002,LL,AURAL SKILLS & PERFORM TECH I
