CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
10212,202310,BIOE,385,003,Bioengineering,School of Engineering,Bioengineering,11,0,01:00PM - 03:59PM R BRC 230,BIOMEDICAL INSTRUMENTATION LAB,,,,"Long, James",Scheduled Final Exam-Dept Room
10213,202310,BIOE,370,001,Bioengineering,School of Engineering,Bioengineering,41,49,11:00AM - 12:20PM MWF BRC 284,BIOMATERIALS,,,,"Mikos, Antonios G.",No Final Exam
10084,202310,BIOE,252,001,Bioengineering,School of Engineering,Bioengineering,50,60,10:00AM - 10:50AM MWF PCF 4,BIOENGINEERING FUNDAMENTALS,,,,"Ramos, Renata F.",Scheduled Final Exam-OTR Room
10086,202310,BIOE,400,001,Bioengineering,School of Engineering,Bioengineering,18,0, -   TBA TBA,ENGINEERING UG RESEARCH,,,,"Ghosn, Bilal",No Final Exam
10087,202310,BIOE,451,001,Bioengineering,School of Engineering,Bioengineering,31,0,08:30AM - 09:50AM MWF PCF 2,BIOENGINEERING DESIGN I,38,0,ZG,"Abidi, Sabia Z.",Scheduled Final Exam-OTR Room
10651,202310,BIOE,440,001,Bioengineering,School of Engineering,Bioengineering,51,49,09:25AM - 10:40AM TR BRC 282,STATISTICS FOR BIOENGINEERING,51,49,H2,"Ghosn, Bilal",Scheduled Final Exam-OTR Room
11414,202310,BIOE,454,001,Bioengineering,School of Engineering,Bioengineering,2,60,09:25AM - 10:40AM TR KCK 100,COMPUTATIONAL FLUID MECHANICS,29,60,02,"Tezduyar, Tayfun E.",No Final Exam
11961,202310,BIOE,420,001,Bioengineering,School of Engineering,Bioengineering,13,62,11:00AM - 12:15PM MWF BRC 282,TRANSPORT PHENOMENA IN BIOE,13,62,C6,"Petsche, Irena",Scheduled Final Exam-OTR Room
11512,202310,BIOE,401,011,Bioengineering,School of Engineering,Bioengineering,12,0, -   TBA TBA,UNDERGRADUATE RESEARCH,,,,"Ghosn, Bilal",No Final Exam
11677,202310,BIOE,365,001,Bioengineering,School of Engineering,Bioengineering,2,20,11:00AM - 12:15PM MW OED 114,SUST WTR PURIF FOR DEV WORLD,20,20,M1,"Loyo Rosales, Jorge E.",No Final Exam
