CRN,TERM_CODE,SUBJECT,COURSE_NUMBER,SECTION,SUBJECT_DESC,SCHOOL,DEPARTMENT,SECTION_ENROLLMENT,SECTION_MAX_ENROLLMENT,MEETINGS,COURSE_TITLE,CROSS_LIST_ENROLLMENT,CROSS_LIST_MAX_ENROLLMENT,CROSS_LIST_GROUP,INSTRUCTOR,EXAM_TYPE
15016,202410,MUSI,181,002,Music,School of Music,Music,2,0, -   TBA TBA,PIANO FOR NON-MAJORS,,,,"Park, Sohyoung; Wang, Chuwen",No Final Exam
15052,202410,MUSI,181,003,Music,School of Music,Music,2,0, -   TBA TBA,PIANO FOR NON-MAJORS,,,,"Park, Sohyoung; Amos, Emily D.",No Final Exam
15075,202410,MUSI,191,001,Music,School of Music,Music,1,0, -   TBA TBA,VIOLIN FOR NON-MAJORS,,,,"Piloyan, Arutyun",No Final Exam
15834,202410,MUSI,414,001,Music,School of Music,Music,5,0,11:00AM - 11:50AM MWF APB 1402,PIANO CHAMBER MUSIC LITERATURE,,,,"Connelly, Brian",No Final Exam
16054,202410,MUSI,445,001,Music,School of Music,Music,3,5, -   TBA TBA,KEYBOARD HARMONY & FIG BASS I,,,,"Cowan, Kenneth A.",No Final Exam
16443,202410,MUSI,191,002,Music,School of Music,Music,2,0, -   TBA TBA,VIOLIN FOR NON-MAJORS,,,,"Ryu, Angela",No Final Exam
16474,202410,MUSI,338,014,Music,School of Music,Music,2,0, -   TBA TBA,CHAMBER MUSIC - UG,,,,"Kantor, Paul",No Final Exam
16445,202410,MUSI,191,003,Music,School of Music,Music,1,0, -   TBA TBA,VIOLIN FOR NON-MAJORS,,,,"Nakamura, Kaia A.",No Final Exam
16446,202410,MUSI,191,004,Music,School of Music,Music,2,0, -   TBA TBA,VIOLIN FOR NON-MAJORS,,,,"Lee, Eunseo Laura",No Final Exam
16447,202410,MUSI,391,001,Music,School of Music,Music,1,0, -   TBA TBA,CONCENTRATION VIOLIN,,,,"Piloyan, Arutyun",No Final Exam
16448,202410,MUSI,151,002,Music,School of Music,Music,1,0, -   TBA TBA,FLUTE FOR NON-MAJORS,,,,"Choi, Hyeonjeong",No Final Exam
16449,202410,MUSI,371,001,Music,School of Music,Music,1,0, -   TBA TBA,CONCENTRATION PERCUSSION,,,,"Marvin, Tyler",No Final Exam
16420,202410,MUSI,381,006,Music,School of Music,Music,1,0, -   TBA TBA,CONCENTRATION PIANO,,,,"Park, Sohyoung",No Final Exam
16432,202410,MUSI,181,004,Music,School of Music,Music,6,0, -   TBA TBA,PIANO FOR NON-MAJORS,,,,"Park, Sohyoung; Yuk, YeeJin",No Final Exam
14282,202410,NAVA,302,001,Naval Science,Dean of Undergraduates,Naval Science,4,5,10:10AM - 11:30AM MW TBA TBA,NAVAL OPERATIONS & SEAMANSHIP,,,,"Davis, Danyelle",No Final Exam
15530,202410,NAVA,303,001,Naval Science,Dean of Undergraduates,Naval Science,4,5,09:25AM - 10:40AM TR TBA TBA,EVOLUTION OF WARFARE,,,,"Collins, Daniel W.; Kroeger, Eric",No Final Exam
11147,202410,NEUR,310,001,Neuroscience,School of Natural Sciences,Neuroscience,52,0, -   TBA TBA,IND RES FOR NEUR UNDERGRADS,,,,"Flynn, Jonathan R.",No Final Exam
11148,202410,NEUR,401,001,Neuroscience,School of Natural Sciences,Neuroscience,1,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Flynn, Jonathan R.",No Final Exam
14887,202410,NEUR,383,002,Neuroscience,School of Natural Sciences,Neuroscience,50,98,02:00PM - 03:15PM MW HRZ 212,INTRO TO NEUROENGINEERING,90,98,15,"Young, Joseph D.; Duret, Guillaume J.",No Final Exam
16111,202410,NEUR,477,001,Neuroscience,School of Natural Sciences,Neuroscience,18,20,02:00PM - 02:50PM F ABL 131,LEARNING W LRG LANGUAGE MODELS,,,,"Flynn, Jonathan R.",No Final Exam
16377,202410,NEUR,310,002,Neuroscience,School of Natural Sciences,Neuroscience,1,0, -   TBA TBA,IND RES FOR NEUR UNDERGRADS,,,,"Ross, Cana",No Final Exam
10596,202410,NSCI,120,002,Natural Sciences,School of Natural Sciences,Natural Sciences Division,11,16,09:25AM - 10:40AM TR ABL 128,INTR SCIENTIFIC RES CHALLENGES,,,,"McNeil, Caroline V.",No Final Exam
10617,202410,NSCI,120,003,Natural Sciences,School of Natural Sciences,Natural Sciences Division,18,20,10:50AM - 12:05PM TR ABL 128,INTR SCIENTIFIC RES CHALLENGES,,,,"McNeil, Caroline V.",No Final Exam
10930,202410,NSCI,120,001,Natural Sciences,School of Natural Sciences,Natural Sciences Division,5,20,08:00AM - 09:15AM TR ABL 128,INTR SCIENTIFIC RES CHALLENGES,,,,"McNeil, Caroline V.",No Final Exam
12997,202410,PHIL,130,002,Philosophy,School of Humanities,Philosophy,48,51,04:00PM - 05:15PM MW HUM 117,THE SCIENCES OF THE MIND,,,,"Morgan, Alexander D.",No Final Exam
15545,202410,PHIL,289,001,Philosophy,School of Humanities,Philosophy,17,26,04:00PM - 05:15PM TR HUM 227,HISTORY OF CHINESE PHILOSOPHY,,,,"Zhang, Wan",No Final Exam
14052,202410,PHIL,125,001,Philosophy,School of Humanities,Philosophy,25,40,04:00PM - 05:15PM MW HUM 119,PHILOSOPHY THROUGH ARTWORKS,,,,"Kriegel, Uri Y.",No Final Exam
15774,202410,PHIL,220,001,Philosophy,School of Humanities,Philosophy,32,40,09:25AM - 10:40AM TR HUM 119,PHILOSOPHY OF RELIGION,,,,"Saenz, Victor",No Final Exam
15523,202410,PHIL,490,001,Philosophy,School of Humanities,Philosophy,3,0, -   TBA TBA,INDEPENDENT READING I,,,,"Kriegel, Uri Y.",No Final Exam
14383,202410,PHIL,460,001,Philosophy,School of Humanities,Philosophy,5,5,02:00PM - 04:30PM W KRF 102,NON-CONSEQUENTIALIST ETHICS,10,15,3Q,"Reis-Dennis, Samuel",No Final Exam
14415,202410,PHIL,498,006,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Schroeder, Timothy A.",No Final Exam
14416,202410,PHIL,498,004,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Morgan, Alexander D.",No Final Exam
14417,202410,PHIL,498,003,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Kriegel, Uri Y.",No Final Exam
14418,202410,PHIL,498,002,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Brake, Elizabeth E.",No Final Exam
14419,202410,PHIL,498,001,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Bradford, Gwendolyn M.",No Final Exam
14420,202410,PHIL,498,008,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Siewert, Charles",No Final Exam
14421,202410,PHIL,498,007,Philosophy,School of Humanities,Philosophy,0,0, -   TBA TBA,SENIOR THESIS,,,,"Sher, George",No Final Exam
